Date,State,Location,TimeOfDay,RoadType,AttackType,Casualties,Kidnapped,WeaponsUsed,PastIncidentsInArea,RiskLevel
2024-11-24,Oyo,Town 36,17:00,Urban Road,Village Raid,1,3,Explosives,10,High
2024-01-25,Katsina,Road 12,23:00,Forest Path,Village Raid,2,9,AK-47,8,High
2024-12-14,Kaduna,Checkpoint 18,23:00,Urban Road,Highway Robbery,1,8,Explosives,1,Medium
2024-02-08,Zamfara,Village 10,23:00,Highway,Village Raid,5,3,Explosives,8,High
2024-11-14,Sokoto,Town 4,14:00,Rural Road,Kidnapping,1,9,None,6,High
2024-11-27,Zamfara,Checkpoint 45,20:00,Forest Path,Bandit Attack,4,0,Explosives,6,Medium
2024-02-25,Benue,Town 30,12:00,Rural Road,Highway Robbery,4,13,None,4,High
2024-02-19,Edo,Village 47,20:00,Urban Road,Highway Robbery,2,9,Pistols,8,High
2024-08-20,Sokoto,Village 10,19:00,Rural Road,Village Raid,4,7,AK-47,6,High
2024-11-18,Kogi,Village 13,00:00,Forest Path,Village Raid,0,15,Pistols,7,High
2024-06-17,Zamfara,Checkpoint 50,01:00,Forest Path,Highway Robbery,5,5,Pistols,1,Medium
2024-11-12,Abuja,Road 46,10:00,Forest Path,Kidnapping,2,6,AK-47,1,Medium
